,n = 500,n = 1000,n = 2000,n = 2500
55,0.09,0.942,0.97,0.978
56,0.084,0.939,0.9593333333333334,0.985
57,0.192,0.942,0.9633333333333334,0.0365
58,0.12,0.071,0.9646666666666667,0.0325
59,0.144,0.051,0.966,0.9765
60,0.788,0.925,0.9646666666666667,0.9815
61,0.104,0.054,0.04933333333333333,0.9825
62,0.846,0.051,0.972,0.0365
63,0.736,0.924,0.9626666666666667,0.9755
64,0.816,0.083,0.04933333333333333,0.978
65,0.074,0.938,0.9626666666666667,0.985
66,0.836,0.05,0.9653333333333334,0.9835
67,0.77,0.932,0.9593333333333334,0.0445
68,0.08,0.92,0.9553333333333334,0.9805
69,0.082,0.09,0.9626666666666667,0.9775
70,0.09,0.939,0.054,0.9775
71,0.086,0.932,0.9653333333333334,0.981
72,0.796,0.92,0.05333333333333334,0.032
73,0.854,0.942,0.9633333333333334,0.984
74,0.098,0.932,0.964,0.971
75,0.822,0.937,0.9666666666666667,0.9865
76,0.084,0.06,0.9633333333333334,0.9805
77,0.078,0.939,0.9686666666666667,0.971
78,0.824,0.071,0.9633333333333334,0.974
79,0.084,0.054,0.08066666666666666,0.9735
80,0.08,0.058,0.043333333333333335,0.9805
81,0.112,0.076,0.966,0.976
82,0.098,0.077,0.9566666666666667,0.978
83,0.102,0.927,0.04133333333333333,0.984
84,0.108,0.929,0.9646666666666667,0.978
85,0.188,0.942,0.9626666666666667,0.9835
86,0.12,0.91,0.972,0.979
87,0.172,0.063,0.038,0.9865
88,0.074,0.081,0.9473333333333334,0.978
89,0.126,0.936,0.9546666666666667,0.028
90,0.086,0.929,0.964,0.9755
91,0.084,0.915,0.9633333333333334,0.9845
92,0.116,0.056,0.966,0.9775
93,0.808,0.053,0.9686666666666667,0.968
94,0.856,0.929,0.964,0.9785
95,0.098,0.927,0.04133333333333333,0.9815
96,0.812,0.908,0.04733333333333333,0.979
97,0.802,0.911,0.03933333333333333,0.982
98,0.114,0.917,0.9673333333333334,0.982
99,0.114,0.064,0.9626666666666667,0.979
100,0.136,0.93,0.9573333333333334,0.9795
101,0.796,0.92,0.07,0.9765
102,0.112,0.933,0.9613333333333334,0.9805
103,0.096,0.947,0.9626666666666667,0.9845
104,0.104,0.933,0.036,0.978
105,0.078,0.073,0.9666666666666667,0.9735
106,0.666,0.061,0.962,0.975
107,0.1,0.923,0.9606666666666667,0.9795
108,0.11,0.047,0.9586666666666667,0.986
109,0.24,0.923,0.9633333333333334,0.047
110,0.082,0.05,0.9646666666666667,0.9785
111,0.096,0.938,0.958,0.973
112,0.116,0.053,0.9546666666666667,0.982
113,0.104,0.895,0.954,0.9835
114,0.094,0.931,0.9653333333333334,0.979
115,0.846,0.917,0.97,0.0595
116,0.112,0.917,0.037333333333333336,0.982
117,0.096,0.06,0.048,0.976
118,0.084,0.07,0.9646666666666667,0.0335
119,0.136,0.921,0.964,0.9775
120,0.152,0.084,0.035333333333333335,0.978
121,0.204,0.939,0.9633333333333334,0.0405
122,0.16,0.064,0.9726666666666667,0.972
123,0.766,0.049,0.9713333333333334,0.0445
124,0.15,0.052,0.972,0.977
125,0.824,0.954,0.9726666666666667,0.986
126,0.806,0.084,0.03666666666666667,0.975
127,0.246,0.928,0.96,0.979
128,0.108,0.922,0.958,0.045
129,0.086,0.071,0.96,0.979
130,0.106,0.916,0.9566666666666667,0.9765
131,0.086,0.934,0.9666666666666667,0.983
132,0.092,0.92,0.9653333333333334,0.038
133,0.092,0.917,0.9586666666666667,0.985
134,0.114,0.928,0.966,0.043
135,0.084,0.923,0.9653333333333334,0.033
136,0.754,0.928,0.9606666666666667,0.973
137,0.784,0.054,0.9593333333333334,0.9745
138,0.276,0.063,0.956,0.974
139,0.076,0.922,0.9666666666666667,0.982
140,0.112,0.934,0.9613333333333334,0.9795
141,0.084,0.907,0.9626666666666667,0.979
142,0.098,0.93,0.04466666666666667,0.9795
