,n = 500,n = 1000,n = 1500,n = 2000
259,0.012,0.007,0.009333333333333334,0.0045
260,1.0,0.008,0.006,1.0
261,0.014,1.0,0.006,0.0045
262,0.014,0.007,1.0,0.004
263,0.016,0.008,1.0,0.005
264,0.014,0.006,0.005333333333333333,0.0035
265,0.014,0.007,0.004666666666666667,1.0
266,0.992,0.006,1.0,0.0035
267,0.99,0.007,0.006,0.0045
268,0.012,0.007,0.004666666666666667,0.004
269,0.012,1.0,0.006666666666666667,1.0
270,0.012,0.008,0.009333333333333334,0.0035
271,0.022,0.007,1.0,0.005
272,0.03,0.007,0.006666666666666667,0.005
273,0.99,0.006,1.0,0.0035
274,0.012,0.008,0.005333333333333333,0.008
275,0.014,1.0,0.006666666666666667,1.0
276,0.018,0.006,0.004666666666666667,0.0035
277,0.012,0.007,0.006,1.0
278,0.022,0.013,0.006,0.0055
279,0.996,0.999,1.0,0.0045
280,0.012,0.008,0.005333333333333333,0.0055
281,0.012,0.013,0.006666666666666667,0.0045
282,0.012,0.012,0.005333333333333333,0.004
283,0.018,0.012,0.004666666666666667,0.0045
284,0.996,0.015,0.005333333333333333,0.0045
285,0.042,1.0,0.005333333333333333,1.0
286,0.018,1.0,0.004666666666666667,1.0
287,0.012,0.01,0.004666666666666667,0.0045
288,0.014,1.0,0.006,1.0
289,0.016,0.999,0.9986666666666667,0.0055
290,0.012,0.007,0.004666666666666667,0.0055
291,0.994,0.006,0.004666666666666667,0.0035
292,0.014,1.0,1.0,0.0045
293,0.012,0.999,0.005333333333333333,1.0
294,0.018,0.007,0.006,0.007
295,0.02,1.0,0.004666666666666667,0.0035
296,0.014,0.999,0.006666666666666667,1.0
297,0.02,0.009,0.004666666666666667,1.0
298,0.012,0.009,0.004666666666666667,0.005
299,0.052,0.007,1.0,0.004
300,0.012,0.012,1.0,0.0055
301,0.03,0.009,0.9993333333333333,0.004
302,0.992,1.0,1.0,0.9995
303,0.016,0.016,1.0,0.0035
304,0.014,0.008,1.0,0.0035
305,0.016,0.009,0.006,0.0055
306,0.014,0.007,0.008,0.0035
307,0.02,0.007,0.007333333333333333,0.0045
308,0.016,0.007,0.004666666666666667,1.0
309,0.038,0.006,0.008,0.0045
310,0.018,0.011,0.9993333333333333,0.005
311,0.018,1.0,0.008,0.0045
312,0.012,0.006,0.005333333333333333,1.0
313,0.988,0.999,1.0,0.004
314,0.028,0.013,1.0,1.0
315,0.994,0.008,0.007333333333333333,0.0035
316,0.016,0.006,1.0,0.0045
317,0.028,0.011,0.006,0.007
318,0.014,0.01,0.004666666666666667,1.0
319,0.998,1.0,0.008666666666666666,0.005
320,0.028,0.008,0.006666666666666667,1.0
321,0.02,0.006,0.005333333333333333,0.006
322,0.014,0.999,0.005333333333333333,0.0045
323,0.014,0.006,0.008,0.004
324,0.016,0.999,0.006,0.007
325,0.012,0.007,0.007333333333333333,0.005
326,0.994,0.006,1.0,0.0045
327,0.994,0.008,0.005333333333333333,0.0055
328,0.014,1.0,0.005333333333333333,0.0045
329,0.012,0.01,0.011333333333333334,1.0
330,0.994,0.007,0.007333333333333333,1.0
331,0.012,0.01,0.006,0.0055
332,0.014,1.0,1.0,0.006
333,0.024,0.01,0.004666666666666667,0.004
334,0.014,1.0,0.006666666666666667,0.005
335,0.014,0.013,0.004666666666666667,1.0
336,0.012,0.012,0.007333333333333333,0.0035
337,0.012,0.01,0.006666666666666667,0.0075
338,0.992,0.006,1.0,0.0085
339,0.988,0.006,0.004666666666666667,0.0035
340,0.012,0.009,1.0,0.0055
341,0.016,0.998,0.006,0.0035
342,0.014,0.009,0.012,0.004
343,0.014,0.998,0.011333333333333334,0.005
344,0.026,0.009,0.006,0.004
345,0.014,0.009,0.010666666666666666,0.0045
346,0.014,0.009,0.009333333333333334,0.0045
347,0.026,0.999,0.004666666666666667,0.0035
348,0.016,1.0,0.008,0.004
349,0.012,0.008,0.006666666666666667,0.005
350,0.014,0.006,1.0,0.0045
351,0.014,0.009,0.004666666666666667,0.005
352,0.012,0.015,0.007333333333333333,0.004
353,0.012,0.007,0.006,0.004
354,0.02,1.0,0.010666666666666666,0.004
355,0.02,0.011,1.0,0.004
356,0.012,0.009,0.006666666666666667,0.0035
357,0.014,0.999,0.005333333333333333,0.004
358,0.012,0.007,0.005333333333333333,0.004
359,0.012,0.006,0.004666666666666667,0.004
360,0.016,0.006,0.005333333333333333,1.0
361,0.012,0.014,0.004666666666666667,0.0055
362,0.012,0.007,0.006,0.0035
363,0.012,0.01,0.005333333333333333,0.0055
364,0.012,0.006,0.005333333333333333,0.0035
365,0.012,0.006,0.008666666666666666,0.0055
366,0.026,0.011,0.005333333333333333,0.0035
367,0.016,0.998,0.009333333333333334,1.0
368,0.014,0.999,1.0,1.0
369,0.016,0.008,1.0,1.0
370,0.018,0.007,0.007333333333333333,0.004
371,0.042,0.009,0.013333333333333334,0.0065
372,0.016,0.998,1.0,0.0045
373,0.026,0.006,0.004666666666666667,0.0045
374,0.022,0.011,0.004666666666666667,1.0
375,0.994,0.007,1.0,0.004
376,0.012,0.007,1.0,0.0045
377,0.014,0.999,0.013333333333333334,0.0045
378,0.028,0.012,0.004666666666666667,0.004
379,0.986,0.007,0.01,0.0085
380,0.014,0.006,0.006666666666666667,0.0085
381,0.018,0.007,0.009333333333333334,1.0
382,0.02,0.998,0.9993333333333333,0.0055
383,0.018,0.009,0.006666666666666667,1.0
384,0.024,0.006,0.005333333333333333,0.0035
385,0.014,0.006,0.006,0.006
386,0.998,0.011,1.0,0.0055
387,0.016,0.008,0.01,0.0045
388,0.018,0.011,0.005333333333333333,0.0035
389,0.02,1.0,0.004666666666666667,0.004
390,0.014,1.0,0.9993333333333333,1.0
391,0.012,1.0,1.0,0.006
392,0.014,1.0,0.004666666666666667,0.004
393,0.988,0.006,0.010666666666666666,0.0035
394,0.016,0.006,1.0,0.005
395,0.99,0.007,0.006,0.004
396,0.022,0.013,0.006,0.0075
397,0.012,0.006,0.006666666666666667,0.0045
398,0.016,0.01,0.004666666666666667,0.004
399,0.014,0.007,0.004666666666666667,0.004
400,0.016,0.009,0.004666666666666667,0.0055
401,0.018,0.007,1.0,1.0
402,0.032,0.006,0.006,0.005
403,0.994,0.013,0.008,0.005
404,0.016,0.007,1.0,0.0045
405,0.016,0.006,0.008,0.0035
406,0.012,1.0,0.004666666666666667,0.0065
407,0.012,0.013,0.012,0.0035
408,0.016,0.007,0.009333333333333334,1.0
409,0.992,1.0,0.006666666666666667,0.0035
410,0.992,1.0,1.0,1.0
411,0.014,0.006,1.0,0.004
