,n = 500,n = 1000,n = 1500,n = 2000
243,0.046,0.045,0.04133333333333333,0.0245
244,0.048,0.036,0.034666666666666665,0.03
245,0.056,0.043,0.034,0.0275
246,0.048,0.035,0.03,0.0315
247,0.052,0.035,0.032,0.031
248,0.052,0.039,0.028666666666666667,0.029
249,0.052,0.037,0.034,0.0315
250,0.058,0.037,0.032,0.0265
251,0.044,0.042,0.03933333333333333,0.0295
252,0.068,0.043,0.026,0.026
253,0.05,0.037,0.036,0.0285
254,0.046,0.048,0.030666666666666665,0.0295
255,0.054,0.043,0.03333333333333333,0.035
256,0.054,0.048,0.03,0.0245
257,0.052,0.038,0.03333333333333333,0.0285
258,0.06,0.034,0.04466666666666667,0.0385
259,0.048,0.043,0.028666666666666667,0.026
260,0.05,0.05,0.028,0.0245
261,0.098,0.036,0.034,0.0235
262,0.064,0.04,0.03333333333333333,0.0285
263,0.078,0.04,0.030666666666666665,0.0305
264,0.062,0.034,0.028666666666666667,0.0275
265,0.05,0.044,0.034,0.0245
266,0.056,0.035,0.03133333333333333,0.0275
267,0.06,0.032,0.03333333333333333,0.029
268,0.076,0.034,0.032,0.025
269,0.05,0.04,0.03266666666666666,0.029
270,0.046,0.036,0.037333333333333336,0.03
271,0.058,0.039,0.03266666666666666,0.032
272,0.054,0.042,0.03666666666666667,0.0295
273,0.05,0.043,0.036,0.0285
274,0.062,0.032,0.034,0.0265
275,0.052,0.038,0.036,0.038
276,0.052,0.041,0.028,0.0295
277,0.05,0.037,0.03,0.026
278,0.044,0.04,0.03133333333333333,0.027
279,0.054,0.038,0.038,0.028
280,0.052,0.038,0.038,0.028
281,0.05,0.043,0.028666666666666667,0.0255
282,0.05,0.033,0.027333333333333334,0.0495
283,0.062,0.034,0.032,0.034
284,0.052,0.041,0.035333333333333335,0.032
285,0.044,0.041,0.030666666666666665,0.0335
286,0.07,0.04,0.03666666666666667,0.031
287,0.046,0.039,0.028666666666666667,0.024
288,0.054,0.034,0.03333333333333333,0.032
289,0.048,0.035,0.036,0.03
290,0.046,0.031,0.034666666666666665,0.0285
291,0.06,0.039,0.03666666666666667,0.027
292,0.052,0.038,0.03,0.0285
293,0.084,0.039,0.03266666666666666,0.025
294,0.052,0.038,0.026,0.031
295,0.068,0.041,0.03333333333333333,0.0325
296,0.054,0.036,0.030666666666666665,0.0255
297,0.06,0.043,0.030666666666666665,0.027
298,0.058,0.035,0.04,0.034
299,0.05,0.038,0.04066666666666666,0.032
300,0.05,0.036,0.034666666666666665,0.028
301,0.052,0.052,0.028666666666666667,0.0315
302,0.052,0.034,0.03333333333333333,0.0255
303,0.056,0.034,0.030666666666666665,0.0305
304,0.062,0.048,0.03266666666666666,0.0315
305,0.048,0.042,0.030666666666666665,0.0345
306,0.052,0.034,0.03,0.029
307,0.048,0.035,0.03,0.0245
308,0.056,0.038,0.034666666666666665,0.026
309,0.054,0.039,0.030666666666666665,0.026
310,0.06,0.033,0.034,0.032
311,0.048,0.036,0.03,0.0235
312,0.052,0.037,0.04066666666666666,0.028
313,0.05,0.039,0.03266666666666666,0.035
314,0.05,0.038,0.030666666666666665,0.0275
315,0.05,0.033,0.04133333333333333,0.0295
316,0.052,0.04,0.03266666666666666,0.029
317,0.054,0.041,0.03133333333333333,0.0345
318,0.054,0.04,0.03266666666666666,0.027
319,0.062,0.042,0.04066666666666666,0.029
320,0.052,0.039,0.03666666666666667,0.0255
321,0.052,0.061,0.028666666666666667,0.0295
322,0.056,0.035,0.03266666666666666,0.0295
323,0.044,0.035,0.03,0.0325
324,0.052,0.04,0.032,0.0255
325,0.046,0.036,0.035333333333333335,0.0255
326,0.056,0.037,0.028666666666666667,0.025
327,0.056,0.034,0.03,0.0335
328,0.06,0.034,0.03133333333333333,0.025
329,0.066,0.036,0.042666666666666665,0.03
330,0.062,0.04,0.029333333333333333,0.03
331,0.058,0.037,0.03266666666666666,0.027
332,0.05,0.032,0.029333333333333333,0.035
333,0.064,0.05,0.037333333333333336,0.036
334,0.046,0.034,0.032,0.03
335,0.052,0.052,0.028,0.0235
336,0.072,0.044,0.034,0.0325
337,0.104,0.046,0.034,0.03
338,0.05,0.045,0.03333333333333333,0.033
339,0.05,0.04,0.03333333333333333,0.028
340,0.064,0.038,0.034,0.0285
341,0.062,0.04,0.03,0.0335
342,0.066,0.041,0.03333333333333333,0.031
343,0.062,0.046,0.037333333333333336,0.026
344,0.056,0.04,0.04066666666666666,0.0265
345,0.052,0.037,0.05466666666666667,0.033
346,0.048,0.042,0.03933333333333333,0.0305
347,0.056,0.046,0.034,0.0305
348,0.058,0.04,0.028666666666666667,0.0285
349,0.066,0.04,0.028666666666666667,0.0315
350,0.048,0.041,0.04066666666666666,0.027
351,0.058,0.036,0.03133333333333333,0.025
352,0.062,0.04,0.034,0.028
353,0.054,0.055,0.03,0.028
354,0.046,0.038,0.034,0.0245
355,0.11,0.033,0.03133333333333333,0.0325
356,0.05,0.04,0.036,0.0335
357,0.052,0.047,0.034,0.031
358,0.064,0.045,0.03133333333333333,0.026
359,0.058,0.038,0.03333333333333333,0.0265
360,0.064,0.04,0.029333333333333333,0.0275
361,0.044,0.037,0.03333333333333333,0.0265
362,0.052,0.042,0.030666666666666665,0.03
363,0.078,0.043,0.03266666666666666,0.0295
364,0.05,0.038,0.05,0.0335
365,0.068,0.047,0.03,0.0285
366,0.06,0.039,0.03,0.0305
367,0.048,0.042,0.029333333333333333,0.0295
368,0.052,0.04,0.038,0.025
369,0.05,0.039,0.03266666666666666,0.032
370,0.046,0.044,0.03,0.034
371,0.046,0.057,0.03133333333333333,0.0255
372,0.054,0.036,0.027333333333333334,0.0315
373,0.058,0.066,0.034,0.03
374,0.054,0.04,0.034,0.0255
375,0.072,0.036,0.035333333333333335,0.0295
376,0.064,0.034,0.032,0.0285
377,0.058,0.034,0.03866666666666667,0.0285
378,0.054,0.037,0.03933333333333333,0.0285
379,0.05,0.046,0.03266666666666666,0.0305
